map,R2_ML1 (true>0 only)
logistic,0.9166833850018599
chebyshev,0.9809570101009333
beta_shift,0.8571041716859064
skew_tent,0.6951329450283473
ulam_abs,0.9318439615007373
gauss_boole,-3.7774145892100677
folded_sawtooth,0.7866660246159305
chebyshev_sine,0.9627991169288407
mod_quadratic,0.9200422367707769
saturated_mod,0.897773377450324
mobius_mod,-0.293272128702335
