map,R2_BASE (true>0 only)
logistic,0.8295782235553767
chebyshev,-3.6590898688916855
beta_shift,-4.508671117753351
skew_tent,0.740952579246976
ulam_abs,0.9106992996888325
gauss_boole,-11.163441700216902
folded_sawtooth,0.8444642169790793
chebyshev_sine,-3.9287227244790506
mod_quadratic,-0.6075232983323546
saturated_mod,-4.638038398699247
mobius_mod,-0.40368527060538595
