look_back,neighbors,hmax,test_size,R2_true_pos,R2_all
1,1,7,0.2,0.9804938155730821,0.7851730559339335
1,1,7,0.4,0.9923688442341099,0.7868965714872052
1,3,7,0.2,0.9826768438350473,0.7854898810883124
1,3,7,0.4,0.9848493313160798,0.7858051565698728
