map,BASE_tune_R2,BASE_final_R2
logistic,0.9923688442341099,0.991221139647844
sine,0.9938668934063658,0.9925033012302362
cubic_map,0.993729705648177,0.9947711271082539
chebyshev,0.9986265025891502,0.9985928469191808
